Header,Date,Description,Link
Header,Date,Description,Link
DFID Research Strategy 2008-2013. Consultation Exercise - Africa. Executive Summary.,  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/dfid-research-strategy-2008-2013-consultation-exercise-africa-executive-summary"",""more details"")"
DT14401 - Nigeria: Admissible and inadmissible taxes, 19 May 2016 ,,"=HYPERLINK(""https://www.gov.uk/hmrc-internal-manuals/double-taxation-relief/dt14401"",""more details"")"
Pro-poor national budgets (GSDRC Helpdesk Research Report 1202),  1 January 2015 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/pro-poor-national-budgets-gsdrc-helpdesk-research-report-1202"",""more details"")"
School Choice in Lagos State - Final Summary Report,  1 January 2014 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/school-choice-in-lagos-state-final-summary-report"",""more details"")"
Greening: Education can secure a peaceful future in Nigeria, 12 June 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/greening-education-can-secure-a-peaceful-future-in-nigeria"",""more details"")"
UK's continued support to Nigeria in the fight against Boko Haram, 14 April 2016 ,Britain and the US have today pledged to educate a million girls and boys in northern Nigeria to boost development across the country.,"=HYPERLINK(""https://www.gov.uk/government/news/uks-continued-support-to-nigeria-in-the-fight-against-boko-haram"",""more details"")"
‘I think a woman who travels a lot is befriending other men and that's why she travels’: mobility constraints and their implications for rural women and girls in sub-Saharan Africa,  1 January 2011 ,The UK is fully committed to supporting Nigeria in its fight against Boko Haram and to helping find those abducted.,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/i-think-a-woman-who-travels-a-lot-is-befriending-other-men-and-that-s-why-she-travels-mobility-constraints-and-their-implications-for-rural-women-and-girls-in-sub-saharan-africa"",""more details"")"
Minister of State for Foreign Affairs visits Nigeria,  9 February 2016 ,,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/minister-of-state-for-foreign-affairs-visits-nigeria"",""more details"")"
FCO and DFID Press Release: UK committed to supporting Nigeria in the fight against Boko Haram, 14 April 2016 ,The British Minister of State for Foreign Affairs is visiting Nigeria to highlight the importance of protecting civilians in the fight against Boko Haram as well as preventing sexual violence in conflict,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/fco-and-dfid-press-release-uk-committed-to-supporting-nigeria-in-the-fight-against-boko-haram"",""more details"")"
British High Commissioner Paul Arkwright completes two-day visit to Ogun State,  3 June 2016 ,The UK is fully committed to supporting Nigeria in its fight against Boko Haram and to helping find those abducted.,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/high-commissioner-paul-arkwright-completes-two-day-visit-to-ogun-state"",""more details"")"
Theresa May's speech to the UN General Assembly, 20 September 2016 ,"British High Commissioner, Paul Arkwright yesterday wrapped up his first ever visit to Ogun State in southwest Nigeria.","=HYPERLINK(""https://www.gov.uk/government/speeches/theresa-mays-speech-to-the-un-general-assembly"",""more details"")"
The British High Commission marks Human Rights Day, 10 December 2015 ,The Prime Minister declared the UK's commitment as a confident and dependable partner in her first address to the UN General Assembly.,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/the-british-high-commission-marks-human-rights-day"",""more details"")"
Scottish Oil and Gas Trade Delegation Visits Nigeria, 26 January 2016 ,"British High Commissioner to Nigeria, Paul Arkwright  writes on the importance of Human Rights. ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/scottish-oil-and-gas-trade-delegation-visits-nigeria"",""more details"")"
Review of evidence on antimicrobial resistance and animal agriculture in developing countries,  1 January 2015 ,A Scottish Oil & Gas delegation is in Nigeria to gain a good understanding of local market conditions and to look for potential local partners.  ,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/review-of-evidence-on-antimicrobial-resistance-and-animal-agriculture-in-developing-countries-201309"",""more details"")"
Review of evidence on antimicrobial resistance and animal agriculture in developing countries,  1 January 2015 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/review-of-evidence-on-antimicrobial-resistance-and-animal-agriculture-in-developing-countries-201910"",""more details"")"
The Coca-Cola company and the UK government strengthen girls’ education and economic opportunities in Nigeria,  7 March 2014 ,,"=HYPERLINK(""https://www.gov.uk/government/news/the-coca-cola-company-and-the-uk-government-strengthen-girls-education-and-economic-opportunities-in-nigeria"",""more details"")"
British High Commissioner rounds up visit to Kano, 25 January 2016 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/british-high-commissioner-rounds-up-visit-to-kano"",""more details"")"
"British High Commissioner,  Paul Arkwright speaks on the UK  perspective on anti- corruption",  2 February 2016 ,"Coca-Cola and DFID to invest £7 million in an initiative to help 10,000 marginalised girls in Nigeria.","=HYPERLINK(""https://www.gov.uk/government/world-location-news/british-high-commissioner-paul-arkwright-speaks-on-the-uk-perspective-on-anti-corruption"",""more details"")"
"Joint APPG event on Corruption, Conflict and the role of the International Community in Africa", 13 May 2016 ,"British High Commissioner to Nigeria, Paul Arkwright, made his first visit to Kano State from 19-21 January, during which he engaged with key leaders and civil society organisations, as well as witnessing the work of the UK Department for International Development (DFID).","=HYPERLINK(""https://www.gov.uk/government/speeches/joint-appg-event-on-corruption-conflict-and-the-role-of-the-international-community-in-africa"",""more details"")"
TCM0320040 - Extra information: glossary: A, 19 April 2016 ,"A Speech by the High Commissioner at the First Annual Conference on Combating Financial Fraud, Cybercrime and other Cross-border Crimes ","=HYPERLINK(""https://www.gov.uk/hmrc-internal-manuals/tax-credits-manual/tcm0320040"",""more details"")"
Header,Date,Description,Link
UK to lead global partnerships to tackle corruption, 12 May 2016 ,"At least 18 countries commit to international partnerships to drive up standards and integrity in government institutions and professional associations, as part of landmark Anti-Corruption Summit.","=HYPERLINK(""https://www.gov.uk/government/news/uk-to-lead-global-partnerships-to-tackle-corruption"",""more details"")"
Nigerian team aim to tackle sickle cell disease by emulating success of NHS Screening Programme, 17 April 2014 ,Last year over 300 babies in England were identified through the screening programme leading to treatment that helps save lives.,"=HYPERLINK(""https://www.gov.uk/government/news/nigerian-team-aim-to-tackle-sickle-cell-disease-by-emulating-success-of-nhs-screening-programme"",""more details"")"
Offshore West Africa confirms partnership with UK Trade & Investment, 19 January 2016 ,"PennWell Corporation confirms strategic partnership with UK Trade & Investment (UKTI) for upcoming Offshore West Africa conference and exhibition in Lagos, Nigeria.","=HYPERLINK(""https://www.gov.uk/government/world-location-news/offshore-west-africa-confirms-partnership-with-uk-trade-investment"",""more details"")"
Nigerian Students Making Waves at The University of Nottingham,  2 March 2016 ,Nigerians form the largest group of African students at the University of Nottingham with over 200 Nigerian students currently studying there,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/nigerian-students-making-waves-at-the-university-of-nottingham"",""more details"")"
Nigerian winners to receive awards from Her Majesty The Queen,  9 December 2015 ,Three young Nigerians have been named among 60 young people to receive the Queen’s Young Leaders Award from Her Majesty The Queen,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/nigerian-winners-to-receive-awards-from-her-majesty-the-queen"",""more details"")"
Celebrating UK/SA Science Excellence - Kevin Govender to receive Edinburgh Medal, 30 March 2016 ,Kevin Govender is the first South African astronomer to win the Edinburgh Medal.,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/celebrating-uksa-science-excellence-kevin-govender-to-receive-edinburgh-medal"",""more details"")"
New programmes to strengthen vulnerable states in Africa and more support for Syria crisis,  2 July 2015 ,"Additional help from the UK to provide emergency aid, jobs and education, to help address the root causes of the migrant crisis.","=HYPERLINK(""https://www.gov.uk/government/news/new-programmes-to-strengthen-vulnerable-states-in-africa-and-more-support-for-syria-crisis"",""more details"")"
Communique on Nigeria trade mission, 20 July 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/communique-on-nigeria-trade-mission"",""more details"")"
Minister for Africa visits Nigeria, 15 May 2014 ,"Meeting between H.E President Goodluck Jonathan, President of the Federal Republic of Nigeria, GCFR, and the RT Hon David Cameron, Prime Minister of the United Kingdom of Great Britain and Northern Ireland Communique.","=HYPERLINK(""https://www.gov.uk/government/news/minister-for-africa-visits-nigeria"",""more details"")"
Cross-Government Prosperity Fund Programme, 12 September 2016 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/publications/cross-government-prosperity-fund-programme"",""more details"")"
